fips,pop,name,state
00000,318857056,United States,
01000,4849377,Alabama,
01001,55395,Autauga County,AL
01003,200111,Baldwin County,AL
01005,26887,Barbour County,AL
01007,22506,Bibb County,AL
01009,57719,Blount County,AL
01011,10764,Bullock County,AL
01013,20296,Butler County,AL
01015,115916,Calhoun County,AL
01017,34076,Chambers County,AL
01019,26037,Cherokee County,AL
01021,43931,Chilton County,AL
01023,13323,Choctaw County,AL
01025,24945,Clarke County,AL
01027,13552,Clay County,AL
01029,15080,Cleburne County,AL
01031,50909,Coffee County,AL
01033,54543,Colbert County,AL
01035,12670,Conecuh County,AL
01037,10886,Coosa County,AL
01039,37914,Covington County,AL
01041,13977,Crenshaw County,AL
01043,81289,Cullman County,AL
01045,49484,Dale County,AL
01047,41711,Dallas County,AL
01049,71065,DeKalb County,AL
01051,80977,Elmore County,AL
01053,37733,Escambia County,AL
01055,103531,Etowah County,AL
01057,16874,Fayette County,AL
01059,31601,Franklin County,AL
01061,26712,Geneva County,AL
01063,8553,Greene County,AL
01065,15184,Hale County,AL
01067,17190,Henry County,AL
01069,104193,Houston County,AL
01071,52665,Jackson County,AL
01073,660793,Jefferson County,AL
01075,14086,Lamar County,AL
01077,93096,Lauderdale County,AL
01079,33477,Lawrence County,AL
01081,154255,Lee County,AL
01083,90787,Limestone County,AL
01085,10580,Lowndes County,AL
01087,19425,Macon County,AL
01089,350299,Madison County,AL
01091,20110,Marengo County,AL
01093,30271,Marion County,AL
01095,94636,Marshall County,AL
01097,415123,Mobile County,AL
01099,21947,Monroe County,AL
01101,226189,Montgomery County,AL
01103,119607,Morgan County,AL
01105,9826,Perry County,AL
01107,20365,Pickens County,AL
01109,33389,Pike County,AL
01111,22539,Randolph County,AL
01113,59608,Russell County,AL
01115,86697,St. Clair County,AL
01117,206655,Shelby County,AL
01119,13166,Sumter County,AL
01121,81322,Talladega County,AL
01123,41165,Tallapoosa County,AL
01125,202212,Tuscaloosa County,AL
01127,65471,Walker County,AL
01129,16834,Washington County,AL
01131,11098,Wilcox County,AL
01133,24150,Winston County,AL
02000,736732,Alaska,
